instant,dteday,seasons,yr,mnth,holiday_num,weekday_num,weekday_cat,workingday_num,weathersit,atemp,hum,windspeed,casual,registered
74,2018-03-15,winter,0,3,0,3,thursday,1,2,15.9089,65.5652,12.348703,289,1767
75,2018-03-16,winter,0,3,0,4,friday,1,2,18.3465,77.6522,13.608839,321,1871
76,2018-03-17,winter,0,3,0,5,saturday,0,1,20.51665,60.2917,14.041793,424,2320
77,2018-03-18,winter,0,3,0,6,sunday,0,1,26.35045,52.5217,15.478139,884,2355
78,2018-03-19,winter,0,3,0,0,monday,1,1,23.32625,37.9167,24.667189,1424,1693
79,2018-03-20,winter,0,3,0,1,tuesday,1,1,16.2875,47.375,13.917307,1047,1424
80,2018-03-21,spring,0,3,0,2,wednesday,1,2,20.48675,73.7391,19.348461,401,1676
81,2018-03-22,spring,0,3,0,3,thursday,1,1,22.0321,62.4583,15.12525,460,2243
82,2018-03-23,spring,0,3,0,4,friday,1,2,16.89695,83.9565,15.695487,203,1918
83,2018-03-24,spring,0,3,0,5,saturday,0,2,13.54165,80.5833,16.333729,166,1699
84,2018-03-25,spring,0,3,0,6,sunday,0,1,12.8156,49.5,15.458575,300,1910
85,2018-03-26,spring,0,3,0,0,monday,1,1,12.87855,39.4167,14.041257,981,1515
86,2018-03-27,spring,0,3,0,1,tuesday,1,2,12.51695,49.3913,12.3481,472,1221
87,2018-03-28,spring,0,3,0,2,wednesday,1,1,12.8787,30.2174,14.217668,222,1806
88,2018-03-29,spring,0,3,0,3,thursday,1,1,14.6454,31.4167,15.208732,317,2108
89,2018-03-30,spring,0,3,0,4,friday,1,2,14.8675,64.6667,11.583496,168,1368
90,2018-03-31,spring,0,3,1,5,saturday,0,3,12.87875,91.8333,14.582282,179,1506
91,2018-04-01,spring,0,4,0,6,sunday,0,2,14.1727,68.625,17.333436,307,1920
92,2018-04-02,spring,0,4,0,0,monday,1,2,15.78185,65.375,13.208782,898,1354
93,2018-04-03,spring,0,4,0,1,tuesday,1,1,18.93835,48.0,12.208271,1651,1598
94,2018-04-04,spring,0,4,0,2,wednesday,1,1,27.14645,42.625,12.125325,734,2381
95,2018-04-05,spring,0,4,0,3,thursday,1,2,19.9175,64.2083,12.125325,167,1628
96,2018-04-06,spring,0,4,0,4,friday,1,1,19.3804,47.0833,17.625221,413,2395
97,2018-04-07,spring,0,4,0,5,saturday,0,1,21.6848,60.2917,10.874904,571,2570
98,2018-04-08,spring,0,4,0,6,sunday,0,2,16.22395,83.625,15.208464,172,1299
99,2018-04-09,spring,0,4,0,0,monday,1,2,17.07645,87.75,8.916561,879,1576
100,2018-04-10,spring,0,4,0,1,tuesday,1,2,21.33685,85.75,9.833389,1188,1707
101,2018-04-11,spring,0,4,0,2,wednesday,1,2,28.26085,71.6956,21.739758,855,2493
102,2018-04-12,spring,0,4,0,3,thursday,1,2,24.6527,73.9167,18.416893,257,1777
103,2018-04-13,spring,0,4,0,4,friday,1,2,20.86415,81.9167,16.791339,209,1953
104,2018-04-14,spring,0,4,0,5,saturday,0,1,23.1371,54.0417,7.4169,529,2738
105,2018-04-15,spring,0,4,0,6,sunday,0,1,22.09565,67.125,15.167125,642,2484
106,2018-04-16,spring,0,4,0,0,monday,1,3,21.2746,88.8333,22.834136,121,674
107,2018-04-17,spring,0,4,0,1,tuesday,1,1,22.2848,47.9583,20.334232,1558,2186
108,2018-04-18,spring,0,4,0,2,wednesday,1,1,25.1573,54.25,10.958989,669,2760
109,2018-04-19,spring,0,4,0,3,thursday,1,2,24.4629,66.5833,10.584057,409,2795
110,2018-04-20,spring,0,4,0,4,friday,1,1,28.2196,61.4167,16.208975,613,3331
111,2018-04-21,spring,0,4,0,5,saturday,0,1,22.6946,40.7083,21.792286,745,3444
112,2018-04-22,spring,0,4,0,6,sunday,0,2,16.0977,72.9583,14.707907,177,1506
113,2018-04-23,spring,0,4,0,0,monday,1,2,22.50605,88.7917,15.458575,1462,2574
114,2018-04-24,spring,0,4,0,1,tuesday,1,2,27.58815,81.0833,12.875725,1710,2481
115,2018-04-25,spring,0,4,0,2,wednesday,1,1,28.725,77.6667,12.417311,773,3300
116,2018-04-26,spring,0,4,0,3,thursday,1,1,29.70415,72.9167,21.8755,678,3722
117,2018-04-27,spring,0,4,0,4,friday,1,2,28.7571,83.5417,20.9174,547,3325
118,2018-04-28,spring,0,4,0,5,saturday,0,2,28.94645,70.0833,21.500836,569,3489
119,2018-04-29,spring,0,4,0,6,sunday,0,1,24.87315,45.7083,16.084221,878,3717
120,2018-04-30,spring,0,4,0,0,monday,1,1,23.20105,50.3333,15.750025,1965,3347
121,2018-05-01,spring,0,5,0,1,tuesday,1,2,22.4102,76.2083,7.125718,1138,2213
122,2018-05-02,spring,0,5,0,2,wednesday,1,2,26.64165,73.0,12.291418,847,3554
123,2018-05-03,spring,0,5,0,3,thursday,1,2,29.10395,69.7083,22.958689,603,3848
124,2018-05-04,spring,0,5,0,4,friday,1,2,20.2325,73.7083,22.042732,255,2378
125,2018-05-05,spring,0,5,0,5,saturday,0,1,22.09585,44.4167,19.791264,614,3819
126,2018-05-06,spring,0,5,0,6,sunday,0,1,23.70585,59.0,15.292482,894,3714
127,2018-05-07,spring,0,5,0,0,monday,1,1,25.63105,54.125,10.75015,1612,3102
128,2018-05-08,spring,0,5,0,1,tuesday,1,1,25.94665,63.1667,5.0007125,1401,2932
129,2018-05-09,spring,0,5,0,2,wednesday,1,1,26.2623,58.875,11.792,664,3698
130,2018-05-10,spring,0,5,0,3,thursday,1,1,26.13605,48.9167,7.749957,694,4109
131,2018-05-11,spring,0,5,0,4,friday,1,1,26.42,63.2917,8.083014,550,3632
132,2018-05-12,spring,0,5,0,5,saturday,0,1,26.16815,74.75,12.707689,695,4169
133,2018-05-13,spring,0,5,0,6,sunday,0,2,24.715,86.3333,12.041575,692,3413
134,2018-05-14,spring,0,5,0,0,monday,1,2,25.03145,92.25,9.04165,902,2507
135,2018-05-15,spring,0,5,0,1,tuesday,1,2,26.8,86.7083,10.249593,1582,2971
136,2018-05-16,spring,0,5,0,2,wednesday,1,1,27.5256,78.7917,8.500357,773,3185
137,2018-05-17,spring,0,5,0,3,thursday,1,2,26.92645,83.7917,18.582718,678,3445
138,2018-05-18,spring,0,5,0,4,friday,1,2,26.3579,87.0,13.499964,536,3319
139,2018-05-19,spring,0,5,0,5,saturday,0,2,25.5371,82.9583,7.250271,735,3840
140,2018-05-20,spring,0,5,0,6,sunday,0,1,26.4521,71.9583,8.375871,909,4008
141,2018-05-21,spring,0,5,0,0,monday,1,1,28.59875,62.6667,8.08355,2258,3547
142,2018-05-22,spring,0,5,0,1,tuesday,1,1,28.725,74.9583,9.916536,1576,3084
143,2018-05-23,spring,0,5,0,2,wednesday,1,2,29.5148,81.0,15.667414,836,3438
144,2018-05-24,spring,0,5,0,3,thursday,1,2,30.24065,74.0833,13.875164,659,3833
145,2018-05-25,spring,0,5,0,4,friday,1,1,30.7771,69.625,10.333611,740,4238
146,2018-05-26,spring,0,5,0,5,saturday,0,1,32.7344,67.75,13.376014,758,3919
147,2018-05-27,spring,0,5,0,6,sunday,0,1,31.8504,65.375,16.125493,871,3808
148,2018-05-28,spring,0,5,0,0,monday,1,1,30.61895,72.9583,15.416164,2001,2757
149,2018-05-29,spring,0,5,1,1,tuesday,0,1,30.7775,81.875,14.333846,717,2433
150,2018-05-30,spring,0,5,0,2,wednesday,1,1,33.5546,68.5,8.792075,1549,2549
151,2018-05-31,spring,0,5,0,3,thursday,1,1,36.26915,63.6667,7.459043,673,3309
152,2018-06-01,spring,0,6,0,4,friday,1,2,36.04835,67.7083,13.875164,513,3461
153,2018-06-02,spring,0,6,0,5,saturday,0,1,32.1971,30.5,19.583229,736,4232
154,2018-06-03,spring,0,6,0,6,sunday,0,1,29.35665,35.4167,16.959107,898,4414
155,2018-06-04,spring,0,6,0,0,monday,1,1,29.7348,45.625,8.250514,1869,3473
156,2018-06-05,spring,0,6,0,1,tuesday,1,2,30.8402,65.25,9.292364,1685,3221
157,2018-06-06,spring,0,6,0,2,wednesday,1,1,31.0929,60.0,8.167032,673,3875
158,2018-06-07,spring,0,6,0,3,thursday,1,1,32.7975,59.7917,12.583136,763,4070
159,2018-06-08,spring,0,6,0,4,friday,1,1,36.36395,62.2083,9.166739,676,3725
160,2018-06-09,spring,0,6,0,5,saturday,0,2,37.87895,56.8333,10.042161,563,3352
161,2018-06-10,spring,0,6,0,6,sunday,0,1,35.1646,60.5,9.417118,815,3771
162,2018-06-11,spring,0,6,0,0,monday,1,1,33.9019,65.4583,10.37495,1729,3237
163,2018-06-12,spring,0,6,0,1,tuesday,1,1,32.16625,74.7917,10.958989,1467,2993
164,2018-06-13,spring,0,6,0,2,wednesday,1,1,30.0827,49.4583,20.45845,863,4157
165,2018-06-14,spring,0,6,0,3,thursday,1,1,29.5773,50.7083,18.041961,727,4164
166,2018-06-15,spring,0,6,0,4,friday,1,1,29.3877,47.1667,11.250104,769,4411
167,2018-06-16,spring,0,6,0,5,saturday,0,2,29.7673,68.8333,13.833557,545,3222
168,2018-06-17,spring,0,6,0,6,sunday,0,1,30.01915,73.5833,9.582943,863,3981
169,2018-06-18,spring,0,6,0,0,monday,1,1,32.1977,67.0417,8.000336,1807,3312
170,2018-06-19,spring,0,6,0,1,tuesday,1,2,32.2923,66.6667,6.834,1639,3105
171,2018-06-20,spring,0,6,0,2,wednesday,1,2,29.7673,74.625,10.416825,699,3311
172,2018-06-21,summer,0,6,0,3,thursday,1,2,31.8823,77.0417,11.458675,774,4061
173,2018-06-22,summer,0,6,0,4,friday,1,1,34.69145,70.75,11.541554,661,3846
174,2018-06-23,summer,0,6,0,5,saturday,0,2,34.69165,70.3333,15.999868,746,4044
175,2018-06-24,summer,0,6,0,6,sunday,0,1,32.82915,57.3333,14.875675,969,4022
176,2018-06-25,summer,0,6,0,0,monday,1,1,32.16565,48.3333,14.041257,1782,3420
177,2018-06-26,summer,0,6,0,1,tuesday,1,1,31.88145,51.3333,6.3337311,1920,3385
178,2018-06-27,summer,0,6,0,2,wednesday,1,2,31.8502,65.8333,7.208396,854,3854
179,2018-06-28,summer,0,6,0,3,thursday,1,1,34.6279,63.4167,9.666961,732,3916
180,2018-06-29,summer,0,6,0,4,friday,1,1,32.7344,49.7917,17.542007,848,4377
181,2018-06-30,summer,0,6,0,5,saturday,0,1,31.8504,43.4167,12.415904,1027,4488
182,2018-07-01,summer,0,7,0,6,sunday,0,1,32.6081,39.625,6.874736,1246,4116
183,2018-07-02,summer,0,7,0,0,monday,1,1,33.3654,44.4583,7.709154,2204,2915
184,2018-07-03,summer,0,7,0,1,tuesday,1,2,33.42875,68.25,15.333486,717,2367
185,2018-07-04,summer,0,7,1,2,wednesday,0,2,33.27085,63.7917,5.4591064,717,2978
186,2018-07-05,summer,0,7,1,3,thursday,0,1,34.8169,59.0417,8.459286,1031,3634
187,2018-07-06,summer,0,7,0,4,friday,1,1,34.28165,74.3333,10.042161,784,3845
188,2018-07-07,summer,0,7,0,5,saturday,0,1,34.34355,65.125,10.6664,754,3838
189,2018-07-08,summer,0,7,0,6,sunday,0,2,33.52415,75.7917,15.083643,692,3348
190,2018-07-09,summer,0,7,0,0,monday,1,1,33.2079,60.9167,11.250104,1988,3348
191,2018-07-10,summer,0,7,0,1,tuesday,1,1,34.50125,57.8333,12.292557,1743,3138
192,2018-07-11,summer,0,7,0,2,wednesday,1,1,36.4902,63.5833,18.916579,723,3363
193,2018-07-12,summer,0,7,0,3,thursday,1,1,36.96375,55.9167,13.417018,662,3596
194,2018-07-13,summer,0,7,0,4,friday,1,1,34.4702,63.1667,9.790911,748,3594
195,2018-07-14,summer,0,7,0,5,saturday,0,1,31.7552,47.625,16.124689,888,4196
196,2018-07-15,summer,0,7,0,6,sunday,0,1,31.21855,59.125,12.249811,1318,4220
197,2018-07-16,summer,0,7,0,0,monday,1,1,31.91315,58.5,13.958914,717,3505
198,2018-07-17,summer,0,7,0,1,tuesday,1,1,33.49165,60.4167,16.417211,2006,3296
199,2018-07-18,summer,0,7,0,2,wednesday,1,1,35.19625,65.125,14.458868,841,3617
200,2018-07-19,summer,0,7,0,3,thursday,1,1,37.37395,65.0417,8.7502,752,3789
201,2018-07-20,summer,0,7,0,4,friday,1,1,37.3425,70.7083,7.625739,644,3688
202,2018-07-21,summer,0,7,0,5,saturday,0,2,41.31855,69.125,14.875407,632,3152
203,2018-07-22,summer,0,7,0,6,sunday,0,1,42.0448,58.0417,8.9177,562,2825
204,2018-07-23,summer,0,7,0,0,monday,1,1,40.21435,50.0,8.791807,987,2298
205,2018-07-24,summer,0,7,0,1,tuesday,1,1,39.74145,55.0833,11.334457,1050,2556
206,2018-07-25,summer,0,7,0,2,wednesday,1,1,36.0479,75.7083,6.0841561,568,3272
207,2018-07-26,summer,0,7,0,3,thursday,1,1,34.84895,54.0833,13.417286,750,3840
208,2018-07-27,summer,0,7,0,4,friday,1,1,34.53335,40.2917,12.292021,755,3901
209,2018-07-28,summer,0,7,1,5,saturday,0,1,36.995,58.3333,11.958093,606,3784
210,2018-07-29,summer,0,7,0,6,sunday,0,1,39.29835,54.25,11.667246,670,3176
211,2018-07-30,summer,0,7,0,0,monday,1,1,36.42685,46.5833,11.291979,1559,2916
212,2018-07-31,summer,0,7,0,1,tuesday,1,1,36.4898,48.0833,11.042471,1524,2778
213,2018-08-01,summer,0,8,0,2,wednesday,1,1,35.1646,55.0833,10.500039,729,3537
214,2018-08-02,summer,0,8,0,3,thursday,1,1,35.35355,49.125,13.79195,801,4044
215,2018-08-03,summer,0,8,0,4,friday,1,2,33.99685,65.75,9.084061,467,3107
216,2018-08-04,summer,0,8,0,5,saturday,0,2,33.2394,75.75,13.20905,799,3777
217,2018-08-05,summer,0,8,0,6,sunday,0,1,32.82835,63.0833,12.374632,1023,3843
218,2018-08-06,summer,0,8,0,0,monday,1,2,33.8077,75.5,15.29275,1521,2773
219,2018-08-07,summer,0,8,0,1,tuesday,1,1,35.7646,75.2917,13.499629,1298,2487
220,2018-08-08,summer,0,8,0,2,wednesday,1,1,35.16415,59.2083,12.875725,846,3480
221,2018-08-09,summer,0,8,0,3,thursday,1,1,36.20605,57.0417,10.125107,907,3695
222,2018-08-10,summer,0,8,0,4,friday,1,1,34.24915,42.4167,13.417286,884,3896
223,2018-08-11,summer,0,8,0,5,saturday,0,1,32.57605,42.375,11.041332,812,3980
224,2018-08-12,summer,0,8,0,6,sunday,0,1,32.7021,41.5,8.416607,1051,3854
225,2018-08-13,summer,0,8,0,0,monday,1,2,32.2929,72.9583,14.167418,1504,2646
226,2018-08-14,summer,0,8,0,1,tuesday,1,2,31.2194,81.75,14.916411,1338,2482
227,2018-08-15,summer,0,8,0,2,wednesday,1,1,30.80835,71.2083,13.999918,775,3563
228,2018-08-16,summer,0,8,0,3,thursday,1,1,32.29185,57.8333,15.834043,721,4004
229,2018-08-17,summer,0,8,0,4,friday,1,1,33.33355,57.5417,9.625689,668,4026
230,2018-08-18,summer,0,8,0,5,saturday,0,1,33.1129,65.4583,15.624936,639,3166
231,2018-08-19,summer,0,8,0,6,sunday,0,2,31.66105,72.2917,9.333636,797,3356
232,2018-08-20,summer,0,8,0,0,monday,1,1,32.4498,67.4167,6.999289,1914,3277
233,2018-08-21,summer,0,8,0,1,tuesday,1,1,33.77625,77.0,16.666518,1249,2624
234,2018-08-22,summer,0,8,0,2,wednesday,1,1,31.9127,47.0,18.54225,833,3925
235,2018-08-23,summer,0,8,0,3,thursday,1,1,30.30335,45.5417,9.833121,1281,4614
236,2018-08-24,summer,0,8,0,4,friday,1,1,31.5346,60.5,16.958236,949,4181
237,2018-08-25,summer,0,8,0,5,saturday,0,2,32.2927,77.1667,14.125811,435,3107
238,2018-08-26,summer,0,8,0,6,sunday,0,1,32.98665,76.125,5.6254875,768,3893
239,2018-08-27,summer,0,8,0,0,monday,1,2,31.7778,85.0,25.166339,226,889
240,2018-08-28,summer,0,8,0,1,tuesday,1,1,32.39795,56.1765,20.412153,1415,2919
241,2018-08-29,summer,0,8,0,2,wednesday,1,1,30.3979,55.4583,10.708275,729,3905
242,2018-08-30,summer,0,8,0,3,thursday,1,1,29.7352,54.8333,8.375536,775,4429
243,2018-08-31,summer,0,8,0,4,friday,1,1,30.55605,59.7917,5.5833311,688,4370
244,2018-09-01,summer,0,9,0,5,saturday,0,1,30.74605,63.9167,9.500332,783,4332
245,2018-09-02,summer,0,9,0,6,sunday,0,2,30.2404,72.7083,9.375243,875,3852
246,2018-09-03,summer,0,9,0,0,monday,1,1,31.66065,71.6667,12.416775,1935,2549
247,2018-09-04,summer,0,9,1,1,tuesday,0,1,33.27145,74.2083,13.833289,717,2419
248,2018-09-05,summer,0,9,0,2,wednesday,1,2,31.2823,79.0417,14.250632,1236,2115
249,2018-09-06,summer,0,9,0,3,thursday,1,3,25.76,88.6957,23.044181,204,2506
250,2018-09-07,summer,0,9,0,4,friday,1,3,27.21145,91.7083,6.5003936,118,1878
251,2018-09-08,summer,0,9,0,5,saturday,0,3,27.76805,93.9565,12.914116,153,1689
252,2018-09-09,summer,0,9,0,6,sunday,0,2,28.9473,89.7917,8.333393,417,3127
253,2018-09-10,summer,0,9,0,0,monday,1,1,30.3981,75.375,10.291736,1750,3595
254,2018-09-11,summer,0,9,0,1,tuesday,1,1,30.46145,71.375,7.708618,1633,3413
255,2018-09-12,summer,0,9,0,2,wednesday,1,1,30.1065,69.2174,5.957171,690,4023
256,2018-09-13,summer,0,9,0,3,thursday,1,1,30.1777,71.25,9.500868,701,4062
257,2018-09-14,summer,0,9,0,4,friday,1,1,31.345,69.7083,11.2091,647,4138
258,2018-09-15,summer,0,9,0,5,saturday,0,2,27.68355,70.9167,18.166782,428,3231
259,2018-09-16,summer,0,9,0,6,sunday,0,2,23.07375,59.0417,11.000261,742,4018
260,2018-09-17,summer,0,9,0,0,monday,1,2,23.9256,71.8333,12.708225,1434,3077
261,2018-09-18,summer,0,9,0,1,tuesday,1,1,24.52685,69.5,11.958361,1353,2921
262,2018-09-19,summer,0,9,0,2,wednesday,1,2,26.48375,69.0,10.166714,691,3848
263,2018-09-20,summer,0,9,0,3,thursday,1,2,26.61085,88.125,9.041918,438,3203
264,2018-09-21,summer,0,9,0,4,friday,1,2,27.52665,90.0,6.4590814,539,3813
265,2018-09-22,summer,0,9,0,5,saturday,0,2,27.74815,90.2083,8.584375,555,4240
266,2018-09-23,autumn,0,9,0,6,sunday,0,2,26.10625,97.25,5.2505689,258,2137
267,2018-09-24,autumn,0,9,0,0,monday,1,2,28.2206,86.25,5.2516811,1776,3647
268,2018-09-25,autumn,0,9,0,1,tuesday,1,2,28.63185,84.5,3.3754064,1544,3466
269,2018-09-26,autumn,0,9,0,2,wednesday,1,2,29.4521,84.8333,7.4169,684,3946
270,2018-09-27,autumn,0,9,0,3,thursday,1,2,28.72625,88.5417,7.917457,477,3643
271,2018-09-28,autumn,0,9,0,4,friday,1,2,28.7579,84.875,9.958143,480,3427
272,2018-09-29,autumn,0,9,0,5,saturday,0,1,28.7256,69.9167,11.583161,653,4186
273,2018-09-30,autumn,0,9,0,6,sunday,0,1,27.24145,64.75,13.833825,830,4372
274,2018-10-01,autumn,0,10,0,0,monday,1,2,20.64315,75.375,19.583832,480,1949
275,2018-10-02,autumn,0,10,0,1,tuesday,1,2,17.26585,79.1667,14.874871,616,2302
276,2018-10-03,autumn,0,10,0,2,wednesday,1,2,19.6023,76.0833,5.5841686,330,3240
277,2018-10-04,autumn,0,10,0,3,thursday,1,1,23.6429,71.0,13.792218,486,3970
278,2018-10-05,autumn,0,10,0,4,friday,1,1,26.3569,64.7917,11.87575,559,4267
279,2018-10-06,autumn,0,10,0,5,saturday,0,1,24.02125,62.0833,9.041918,639,4126
280,2018-10-07,autumn,0,10,0,6,sunday,0,1,25.2202,68.4167,1.5002439,949,4036
281,2018-10-08,autumn,0,10,0,0,monday,1,1,25.6621,70.125,3.0420814,2235,3174
282,2018-10-09,autumn,0,10,0,1,tuesday,1,1,26.19915,72.75,4.25115,717,3114
283,2018-10-10,autumn,0,10,0,2,wednesday,1,1,27.14625,73.375,2.8343814,1514,3603
284,2018-10-11,autumn,0,10,0,3,thursday,1,2,27.3048,80.875,9.583814,667,3896
285,2018-10-12,autumn,0,10,0,4,friday,1,3,25.88585,90.625,16.62605,217,2199
286,2018-10-13,autumn,0,10,0,5,saturday,0,2,27.5902,89.6667,9.499729,290,2623
287,2018-10-14,autumn,0,10,0,6,sunday,0,2,26.48375,71.625,15.000161,529,3115
288,2018-10-15,autumn,0,10,0,0,monday,1,1,24.93625,48.3333,17.291561,1899,3318
289,2018-10-16,autumn,0,10,0,1,tuesday,1,1,25.1577,48.6667,18.875039,1748,3293
